lat,long,elev,locality,Year,Temp
-14.3,126.65,23,KALUMBURU,1975,33.62336
-18.23,127.66,422,HALLS CREEK,1975,32.6951
-17.95,122.24,7.4,BROOME AIRPORT,1975,32.03301
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1975,32.63072
-21.18,119.75,182.3,MARBLE BAR,1975,33.63562
-22.24,114.1,5,LEARMONTH AIRPORT,1975,30.04412
-22.24,118.34,463,WITTENOOM,1975,30.43279
-24.89,113.67,4,CARNARVON AIRPORT,1975,26.47614
-26.61,118.54,517,MEEKATHARRA AIRPORT,1975,25.68984
-29.2,116.02,271.4,MORAWA AIRPORT,1975,24.60915
-30.28,116.67,324.5,DALWALLINU,1975,23.35629
-28.8,114.7,29.7,GERALDTON AIRPORT,1975,23.87582
-31.93,115.98,15.4,PERTH AIRPORT,1975,23.1049
-34.37,115.14,13,CAPE LEEUWIN,1975,19.03993
-33.95,116.13,178.7,BRIDGETOWN,1975,20.25935
-33.83,121.89,25,ESPERANCE,1975,20.25588
-34.94,117.82,68.4,ALBANY,1975,18.85359
-31.48,118.28,315,MERREDIN,1975,22.91705
-31.62,117.22,216.7,CUNDERDIN,1975,22.78278
-33.69,117.61,320,KATANNING,1975,20.09738
-32.67,116.67,275,WANDERING,1975,20.53431
-31.68,128.9,93.1,EUCLA,1975,24.5375
-30.85,128.11,159,FORREST,1975,23.5768
-30.78,121.45,365.3,KALGOORLIE-BOULDER,1975,22.17647
-25.03,128.3,598,GILES,1975,26.88595
-12.42,130.89,30.4,DARWIN,1975,31.86895
-16.4,131.01,88.5,VICTORIA RIVER DOWNS,1975,34.33691
-19.64,134.18,375.7,TENNANTCREEKAIRPORT,1975,29.95397
-23.8,133.89,546,ALICE SPRINGS,1975,27.59346
-20.18,130.01,340,RABBIT FLAT,1975,31.98533
-31.16,136.81,166.6,WOOMERA,1975,24.31667
-30.71,134.58,123,TARCOOLA,1975,25.31438
-27.56,135.45,116.5,OODNADATTA,1975,26.84444
-29.66,138.07,50,MARREE,1975,26.39739
-32.13,133.7,15.3,CEDUNAAMO,1975,21.96993
-33.13,135.55,59,KYANCUTTA,1975,23.36093
-34.6,135.88,8.5,PORT LINCOLN,1975,19.39027
-33.77,138.22,109.1,RAYVILLEPARK,1975,21.67682
-35.75,136.6,158,CAPEBORDA,1975,17.50492
-34.92,138.62,48,KENTTOWN,1975,20.89706
-34.48,139.01,275,NURIOOTPAPIRSA,1975,19.36601
-37.75,140.77,63,MOUNT GAMBIER,1975,18.03922
-37.16,139.76,3.3,ROBE,1975,17.38862
-12.68,141.92,18,WEIPAAERO,1975,32.38333
-10.58,142.29,4,HORNISLAND,1975,29.70588
-16,144.08,203.8,PALMERVILLE,1975,32.86046
-17.69,141.07,18.4,NORMANTON,1975,32.66314
-17.75,139.54,5.7,BURKETOWN,1975,31.40391
-20.73,143.14,211.1,RICHMOND POST OFFICE,1975,32.12238
-18.3,143.53,301.8,GEORGETOWN,1975,31.91738
-16.87,145.75,2.2,CAIRNSAERO,1975,28.62647
-19.25,146.77,4.3,TOWNSVILLE,1975,28.54052
-21.12,149.22,30.3,MACKAY,1975,25.21144
-20.05,146.27,289.8,CHARTERS TOWERS,1975,29.00592
-23.55,145.29,266.9,BARCALDINE,1975,28.96732
-23.44,144.28,192.2,LONGREACH,1975,30.17745
-19.92,138.12,231.2,CAMOOWEAL,1975,31.54265
-22.91,139.9,161.8,BOULIA,1975,29.8053
-25.9,139.35,46.6,BIRDSVILLE,1975,28.88328
-25.62,151.62,110.9,GAYNDAH,1975,26.8659
-23.38,150.48,10.4,ROCKHAMPTON,1975,27.59377
-24.91,152.32,30.8,BUNDABERGAERO,1975,26.34804
-27.63,152.71,24.2,AMBERLEYAMO,1975,25.36961
-27.03,153.47,99.9,CAPE MORETON LIGHTHOUSE,1975,22.8598
-27.39,153.13,4.5,BRISBANEAERO,1975,24.3375
-26.66,150.18,304.8,MILES CONSTANCE STREET,1975,25.6482
-28.05,148.59,198.5,ST GEORGE AIRPORT,1975,25.45848
-26.41,146.26,301.6,CHARLEVILLE,1975,26.95752
-27.99,143.82,130.9,THARGOMINDAH,1975,27.03346
-31.52,143.39,94.3,WILCANNIA,1975,25.53717
-29.44,142.06,176.4,TIBOOBURRA,1975,25.89281
-31.48,145.83,260,COBARMO,1975,23.72451
